"user_id","FScore","FBRScore","MScore","FWBRScore","MFWBRScores"
44118921,1,1,3,2,"2 3"
110361993,4,2,4,5,"5 4"
138437670,1,1,1,2,"2 1"
144777339,4,5,4,1,"1 4"
145424244,4,2,4,5,"5 4"
153963390,3,2,3,3,"3 3"
155515962,1,2,1,1,"1 1"
165219537,1,2,1,1,"1 1"
167289633,2,1,2,3,"3 2"
186049878,3,2,4,4,"4 4"
187990593,4,3,4,5,"5 4"
188378736,3,1,4,5,"5 4"
201704979,3,1,2,4,"4 2"
218136366,2,1,3,3,"3 3"
219688938,1,1,2,2,"2 2"
229521894,1,2,1,1,"1 1"
243753804,1,1,1,2,"2 1"
272217624,3,1,4,4,"4 4"
273511434,2,2,2,2,"2 2"
279074817,1,1,2,2,"2 2"
372229137,4,5,4,5,"5 4"
386072904,1,2,1,1,"1 1"
389178048,1,1,3,2,"2 3"
410525913,1,1,1,2,"2 1"
433038207,4,1,4,5,"5 4"
435884589,3,1,4,5,"5 4"
446493831,3,2,2,3,"3 2"
450763404,1,2,1,1,"1 1"
463572123,2,3,3,1,"1 3"
484273083,3,4,1,1,"1 1"
506914758,1,1,2,2,"2 2"
509761140,1,2,1,1,"1 1"
513513189,2,2,2,2,"2 2"
529944576,3,1,4,4,"4 4"
532273434,3,2,3,3,"3 3"
542365152,4,5,4,5,"5 4"
543658962,3,3,3,2,"2 3"
547411011,3,2,2,3,"3 2"
551033679,1,2,1,1,"1 1"
557761491,2,1,3,3,"3 3"
567723828,2,2,2,2,"2 2"
570828972,3,2,2,3,"3 2"
580532547,4,1,4,5,"5 4"
604338651,1,1,2,2,"2 2"
610807701,1,1,2,2,"2 2"
680285298,1,1,1,2,"2 1"
685201776,2,3,2,1,"1 2"
702409449,1,1,2,2,"2 2"
704997069,1,1,3,2,"2 3"
713924358,3,1,4,5,"5 4"
717676407,4,4,4,3,"3 4"
721040313,2,1,2,3,"3 2"
754808754,1,1,1,2,"2 1"
757008231,1,1,1,2,"2 1"
770593236,2,1,3,3,"3 3"
788189052,4,5,4,5,"5 4"
799574580,2,1,4,3,"3 4"
803585391,2,1,1,3,"3 1"
805137963,3,4,2,1,"1 2"
859089840,1,1,2,2,"2 2"
875133084,4,2,3,5,"5 3"
905408238,3,1,4,4,"4 4"
918863862,1,1,3,2,"2 3"
973721406,2,3,1,1,"1 1"
986788887,4,1,4,5,"5 4"
1018099089,1,1,1,2,"2 1"
